Дата визита;Амбассадор;Название заведения;Адрес заведения;Bliss ( что стоит в работе );WHITE LINE  ( что стоит в работе );BLACK LINE  ( что стоит в работе );CIGAR LINE  ( что стоит в работе )
06.10.2025;Чечин Илья;The дым;ЖК Столичный, улица Сибгата Хакима, 51;КИСЛАЯ СМОРОДИНА, ХВОЯ;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, МАРАСКИНО ЧЕРРИ;;
06.10.2025;Дубицкий Иван;Тако ;Нижний Новгород, Варварская улица, 33;PINK SHOT;АЛОЭ КЛУБНИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЕНЫЙ ЧАЙ, ЛИМОН, ЧЕРЁМУХА;;
06.10.2025;Дубицкий Иван;Мед ;Нижний Новгород, Ошарская улица, 14;АРБУЗНАЯ ЖВАЧКА;;ЧЕРНИКА РОМАШКА;
06.10.2025;Чечин Илья;Jojo;Чистопольская улица, 19г;ХВОЯ, ЯГОДНЫЙ СМУЗИ;ЗЕЛЕНЫЙ ЧАЙ;;ЧЁРНЫЙ ПЕРЕЦ
06.10.2025;Дмитрий Мальков;Мята Platinum;Москва, Лазоревый проезд, 1А, корп. 2, 129323;КИСЛАЯ СМОРОДИНА, КОЛА, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ХВОЯ;АЛОЭ КЛУБНИКА, ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕЛЕНЫЙ ЧАЙ, КИВИ СЕЛЬДЕРЕЙ, КОКОС, ЛАВАНДА ФЕЙХОА, ЛАВАНДОВЫЙ ТОНИК, ЛИМОН, МАНДАРИН, МУЛЬТИФРУКТ, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ПЕСОЧНОЕ ПЕЧЕНЬЕ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;ГРЕЦКИЙ, ДЖИН, МАНГО, ЧЁРНЫЙ ПЕРЕЦ
06.10.2025;Шарков Роман;Paradox lounge;Республика Башкортостан, Уфа, проспект Октября, 15, 450001;АПЕЛЬСИН, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОКОС, КРАСНЫЙ ВИНОГРАД, МАЛИНА, МАЛИНОВАЯ КОЛА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, КИСЛАЯ БУЗИНА, ЛАЙМ;АРБУЗ ЯГОДЫ, БАНАН, ВИШНЁВЫЙ СОК, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША, КИВИ СЕЛЬДЕРЕЙ, КОКОС, МЯТНАЯ КОНФЕТА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА, СМОРОДИНА ЧАБРЕЦ, ЯГОДНЫЙ МИЛКШЕЙК, КИСЛЫЙ ЯГОДНЫЙ;АНАНАС, МАЛИНА ЛИЧИ БАЗИЛИК;ДЖИН, МАНГО, МОРКОВНЫЙ ФРЕШ
06.10.2025;Эдуард Цепелев;Opera Lounge;Пермь, улица Революции, 24, 614039 • этаж 2;ДЫНЯ, КЛУБНИКА, КОЛА, МАЛИНА, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, КИСЛАЯ БУЗИНА;ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, КАРАМЕЛЬ ЦИТРУС, КОКОС, КОЛА КАРАМЕЛЬ, ЛИМОНЧЕЛЛО, МУЛЬТИФРУКТ, СМОРОДИНА ЧАБРЕЦ, ЧЕРНИКА ЙОГУРТ, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ГВОЗДИКА, ЛАВАНДА, ЧЁРНАЯ СМОРОДИНА;ДЖИН, КАРАМЕЛЬ
06.10.2025;Кравцов Денис;МСК Lounge;Москва, Широкая улица, 24Б;АПЕЛЬСИН, КЛУБНИКА, КОКОС, МАЛИНОВАЯ КОЛА, МАНГО, ПЕРСИК ЙОГУРТ;АЛОЭ КЛУБНИКА, АРБУЗ ЯГОДЫ, ВИШНЕВАЯ ГАЗИРОВКА, ГАСПАЧО, ГОЛУБИКА, ГРЕЙПФРУТ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЛАВАНДА ФЕЙХОА, ЛИМОНЧЕЛЛО, МАЙ ТАЙ (РОМ ЛАЙМ АНАНАС МИНДАЛЬ), МАЛИНА, МАНДАРИН, СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);МАЛИНА ЛИЧИ БАЗИЛИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СЛИВА АБРИКОС, УРАЛ;
06.10.2025;Дубицкий Иван;Лаундж-бар Luna;Нижний Новгород, улица Пискунова, 21/2, 603000;;ВИШНЁВЫЙ СОК, ВИНОГРАДНЫЙ НАПИТОК, ГОЛУБИКА, ГРУША ГОРГОНЗОЛА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);КОРИЦА, ЛАВАНДА;
06.10.2025;Чечин Илья;1 st Gallery kitchen;Меридианная улица, 1;;;;
06.10.2025;Дубицкий Иван;Brat Burgers;Нижний Новгород, улица Ульянова, 4;АРБУЗНАЯ ЖВАЧКА, КИСЛАЯ СМОРОДИНА, КРАСНЫЙ ВИНОГРАД, ЛАЙМ;ЛИМОН, ЧЕРЁМУХА, АРБУЗ ДЫНЯ, КИСЛЫЙ ЯГОДНЫЙ;КИСЛАЯ МАЛИНА;
06.10.2025;Кравцов Денис;HookahPlace 360;Москва, Зелёный проспект, 62, 111396 • этаж 3;;ВИШНЁВЫЙ СОК, ПЕСОЧНОЕ ПЕЧЕНЬЕ;ГВОЗДИКА;
06.10.2025;Дубицкий Иван;Eclipse;городской округ Нижний Новгород, Нижегородский район, площадь Минина и Пожарского, 6, 603000;ЛАЙМ;ЛИМОНЧЕЛЛО;;
06.10.2025;Кравцов Денис;White Star Lounge;Москва, Новогиреевская улица, 29, корп. 1, 111397 • этаж цокольный;КЛУБНИКА, ЛИМОНЧЕЛЛО, ЧЕРНИЧНЫЙ СОРБЕТ;БАРБАРИС, ГАСПАЧО, ГРЕЙПФРУТ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЛАВАНДА ФЕЙХОА;;
06.10.2025;Дмитрий Мальков;HookahPlace Garden;Москва, Лазоревый проезд, 1А, корп. 2, 129323;АПЕЛЬСИН;;;ГРЕЦКИЙ, ЗЕМЛЯНИКА, ЧЁРНЫЙ ПЕРЕЦ
06.10.2025;Чечин Илья;Happy people;Улица Мусина, 1;;;;
06.10.2025;Кравцов Денис;Mos Kalyan;Москва, Свободный проспект, 20А • этаж 3;;;;
06.10.2025;Левин Роман;Данхилс;Краснодар, улица Красных Партизан, 483, 350049;ЛИМОНЧЕЛЛО;ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), SWITTLES (ФРУКТОВОЕ ДРАЖЕ);СЛИВА АБРИКОС, ЧЁРНАЯ СМОРОДИНА;МОРКОВНЫЙ ФРЕШ
06.10.2025;Чечин Илья;Smoky people;Меридианная улица, 2;КИСЛАЯ СМОРОДИНА, КРАСНЫЙ ВИНОГРАД, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЕНЫЙ ЧАЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
06.10.2025;Дмитрий Мальков;Smoke Club;Москва, Берёзовая аллея, 12А;;АЛОЭ КЛУБНИКА, ЗЕМЛЯНИКА, ЛАВАНДА ФЕЙХОА, ЛИМОНЧЕЛЛО, МАРАСКИНО ЧЕРРИ;;
06.10.2025;Левин Роман;Локация-дымный бар;Краснодар, улица Ковалёва, 38/1;ДЫНЯ, КЛУБНИКА, МАЛИНА;ЗЕЛЕНЫЙ ЧАЙ;;ДЖИН, КАРАМЕЛЬ, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
06.10.2025;Кравцов Денис;Мята Signature;Московская область, Реутов, Южная улица, 10А, 143965 • этаж 2;;АЛОЭ КЛУБНИКА, АНАНАC ФЕЙХОА, КИВИ СЕЛЬДЕРЕЙ;;
06.10.2025;Кравцов Денис;Нирвана Лаунж;Московская область, Реутов, улица имени Академика В.Н. Челомея, 11, 143962 • этаж цокольный;;ЛАВАНДА ФЕЙХОА;;
06.10.2025;Кравцов Денис;Дыши Глубже;Московская область, Реутов, улица имени Академика В.Н. Челомея, 10, 143962;ЯГОДНЫЙ СМУЗИ;АЛОЭ КЛУБНИКА, ВИШНЁВЫЙ СОК, ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕМЛЯНИКА, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КЛУБНИКА ОГУРЕЦ, КОКОС, КОЛА КАРАМЕЛЬ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, ЧЕРНОСЛИВ КЕДР, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);УРАЛ, ЧЁРНАЯ СМОРОДИНА, ЧЕРНИКА РОМАШКА;
06.10.2025;Кравцов Денис;Сад Lounge;Московская область, Реутов, Юбилейный проспект, 57 • этаж 2;;КЛУБНИКА АНАНАС, ПЕСОЧНОЕ ПЕЧЕНЬЕ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
06.10.2025;Кравцов Денис;HookahPlace Karma;Московская область, Реутов, Юбилейный проспект, 76, 143962;;ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
06.10.2025;Кравцов Денис;Тайга family;Московская область, Реутов, улица Октября, 38;;ВИШНЁВЫЙ СОК, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЧЕРЁМУХА;ТОРФЯНОЙ ВИСКИ, УРАЛ;ДЖИН, ЧЁРНЫЙ ПЕРЕЦ
06.10.2025;Шарков Роман;Искусство;Республика Башкортостан, Уфа, улица имени Города Галле, 6 • этаж 2;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОЛА, КРАСНЫЙ ВИНОГРАД, МАЛИНА, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, КИСЛАЯ БУЗИНА, ЛАЙМ, МАНГО РОМАШКА, КИВИ, БАЗИЛИК;АЛОЭ КЛУБНИКА, БАРБАРИС, ВИШНЁВЫЙ СОК, ГАСПАЧО, ГОЛУБИКА, ГРЕЙПФРУТ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, КИВИ СЕЛЬДЕРЕЙ, КИСЛАЯ МАЛИНА, КОКОС, КОЛА КАРАМЕЛЬ, ЛАВАНДОВЫЙ ТОНИК, ЛИМОНЧЕЛЛО, МАЛИНА, МАНДАРИН, ПЕРСИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, ЧЕРНИКА ЙОГУРТ, ЧЕРНОСЛИВ КЕДР, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);АРБУЗ, ГРЕЙПФРУТ, ЛАВАНДА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЁРНАЯ СМОРОДИНА;АНАНАС, БАЗА, ДЖИН, ЗЕМЛЯНИКА, КАРАМЕЛЬ, МАЛИНА, МАНГО, МОРКОВНЫЙ ФРЕШ, МАРАКУЙЯ, ЛАЙМ, ВИНОГРАД
06.10.2025;Левин Роман;CyberX Community ;Краснодар, Фестивальный микрорайон, улица имени Тургенева, 138/7;;;;
07.10.2025;Шарков Роман;МайКлауд;Республика Башкортостан, Уфа, проспект Октября, 91;АПЕЛЬСИН, КОЛА, МАЛИНОВАЯ КОЛА, ТРОПИЧЕСКИЙ СМУЗИ, PINK SHOT;БАЗИЛИК ЛАЙМ, КИВИ СЕЛЬДЕРЕЙ, ЛАВАНДА ФЕЙХОА, СМОРОДИНА ЧАБРЕЦ, ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ МИЛКШЕЙК;ГОЛУБИКА, СЛИВА АБРИКОС;
07.10.2025;Кравцов Денис;Мята Platinum;Москва, Шмитовский проезд, 16, стр. 2, 123100;;КОКОС, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
07.10.2025;Эдуард Цепелев;Наше место;Пермь, Уинская улица, 9, 614051 • этаж цокольный;;ГРУША ГОРГОНЗОЛА, ЧЕРНОСЛИВ КЕДР;;
07.10.2025;Чечин Илья;Chilling lounge;Баумана 49;КОКОС, ЛИМОН, ЛИМОНЧЕЛЛО, СЛИВОЧНЫЙ КРЕМ, ЧЕРНИЧНЫЙ СОРБЕТ;АЛОЭ КЛУБНИКА, ЗЕЛЕНЫЙ ЧАЙ, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;ГРЕЦКИЙ, КАРАМЕЛЬ, ЧЁРНЫЙ ПЕРЕЦ
07.10.2025;Шарков Роман;Чилл Хард;Республика Башкортостан, Уфа, Российская улица, 149;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, ЛИМОН, МАЛИНОВАЯ КОЛА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, PINK SHOT;ВИНОГРАД МЯТА, ВИШНЁВЫЙ СОК, ВИНОГРАДНЫЙ НАПИТОК, ГРУША, ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, КАКТУС ПОМЕЛО, КИВИ СЕЛЬДЕРЕЙ, КЛУБНИКА АНАНАС, ЛАВАНДА ФЕЙХОА, ЛИМОН, МАНДАРИН, МАРАКУЙЯ, МУЛЬТИФРУКТ, МЯТНАЯ КОНФЕТА, ПЕРСИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СМОРОДИНА ЧАБРЕЦ, ЧЕРНОСЛИВ КЕДР, ЯГОДНЫЙ, КИСЛЫЙ ЯГОДНЫЙ;АНАНАС, АРБУЗ, ГОЛУБИКА, ГРЕЙПФРУТ, ЗЕЛЕНЫЙ ЧАЙ, ЛЕДЕНЦЫ ЛИМОН ДЫНЯ, МАЛИНА ЛИЧИ БАЗИЛИК, СЛИВА АБРИКОС, УРАЛ, ЧУПА ЭНЕРДЖИ;АНАНАС, ЗЕМЛЯНИКА, МАЛИНА
07.10.2025;Голев Вадим;Enzo;Вайнера, 51;АПЕЛЬСИН, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КОКОС, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОНЧЕЛЛО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), САХАРНАЯ КЛЮКВА, ЧЕРЁМУХА, ЧЕРНОСЛИВ КЕДР, ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ МИЛКШЕЙК;ГВОЗДИКА, КОРИЦА, ЛАВАНДА;АНАНАС
07.10.2025;Кравцов Денис;Дымзавод;Москва, Столярный переулок, 3, корп. 14;;;;
07.10.2025;Чечин Илья;Негроничное пространство;Профсоюзная улица, 48/10;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЕНЫЙ ЧАЙ, КИВИ СЕЛЬДЕРЕЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
07.10.2025;Кравцов Денис;Everest Hookah;Москва, улица Свободы, 48, стр. 1;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН);;ЧЁРНЫЙ ПЕРЕЦ
07.10.2025;Эдуард Цепелев;Gotham;Пермь, бульвар Гагарина, 66, 614077 • этаж цокольный;КЛУБНИКА;ГРУША ГОРГОНЗОЛА, МУЛЬТИФРУКТ;ЗЕЛЕНЫЙ ЧАЙ, КОРИЦА, ЛАВАНДА, УРАЛ;МАНГО, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
07.10.2025;Кравцов Денис;Chorse Lounge;Москва, Шмитовский проезд, 3с1;;КАКТУС ПОМЕЛО, КИВИ СЕЛЬДЕРЕЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
07.10.2025;Голев Вадим;Vibe Lounge;Улица Хохрякова, 74;АПЕЛЬСИН, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ЯГОДНЫЙ СМУЗИ;ГАСПАЧО, ЛАВАНДОВЫЙ ТОНИК, МАЙ ТАЙ (РОМ ЛАЙМ АНАНАС МИНДАЛЬ), ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ МИЛКШЕЙК;ГВОЗДИКА, КОРИЦА;
07.10.2025;Дубицкий Иван;Hookah Club;Нижний Новгород, Большая Покровская улица, 68;АРБУЗНАЯ ЖВАЧКА, ЛИМОН, МАЛИНА, ТРОПИЧЕСКИЙ СМУЗИ;ЛИМОНЧЕЛЛО;;
07.10.2025;Кравцов Денис;HookahPlace Mystic;Москва, Краснопресненская набережная, 2/1, 123100;;БАРБАРИС, ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА;;
07.10.2025;Кравцов Денис;Authentic Lovers;Москва, 2-я Звенигородская улица, 12, стр. 1;;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЧЕРНИКА ЙОГУРТ;ЛЕДЕНЦЫ ЛИМОН ДЫНЯ, УРАЛ;БАЗА
07.10.2025;Чечин Илья;Тотен Lounge;Парижской Коммуны, 25/39;;КЛУБНИКА ОГУРЕЦ, ЧЕРНОСЛИВ КЕДР;;
07.10.2025;Кравцов Денис;Обнял;Москва, улица Свободы, 48, стр. 1;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, КОЛА, МАНГО, ПЕРСИК ЙОГУРТ, ХВОЯ;ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЛИМОНЧЕЛЛО;КОРИЦА;
07.10.2025;Кравцов Денис;Aviator Lounge;Aviator Lounge;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА);;
07.10.2025;Кравцов Денис;Мята Lounge;Москва, улица Свободы, 42 • этаж 2;;;;
07.10.2025;Шарков Роман;Paradox;Республика Башкортостан, Уфа, Комсомольская улица, 15;ЛИМОНЧЕЛЛО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, МАНГО РОМАШКА;АЛОЭ КЛУБНИКА, БАНАН, БАРБАРИС, КОКОС;КОРИЦА;ДЖИН
07.10.2025;Дубицкий Иван;Luna Home;Нижний Новгород, Большая Покровская улица, 69;ТРОПИЧЕСКИЙ СМУЗИ;ЛИМОНЧЕЛЛО, ПЕСОЧНОЕ ПЕЧЕНЬЕ;ПЕСОЧНОЕ ПЕЧЕНЬЕ, СЛИВА АБРИКОС;БАЗА, ГРЕЦКИЙ, ДЖИН, КАРАМЕЛЬ
08.10.2025;Эдуард Цепелев;Темный Лес;Пермь, улица Куйбышева, 71, 614016;АПЕЛЬСИН, КИСЛАЯ СМОРОДИНА, КОКОС, КРАСНЫЙ ВИНОГРАД, ЛИМОН, МАЛИНА, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;ВИНОГРАДНЫЙ НАПИТОК, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, КИВИ СЕЛЬДЕРЕЙ, КОКОС, ЛАВАНДОВЫЙ ТОНИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА, СМОРОДИНА ЧАБРЕЦ, ЧЕРНИКА ЙОГУРТ, ЧЕРНОСЛИВ КЕДР, ЯГОДНЫЙ, КИСЛЫЙ ЯГОДНЫЙ;ГВОЗДИКА, ЗЕМЛЯНИКА ЛЕМОНГРАСС, КОРИЦА, ТОРФЯНОЙ ВИСКИ, УРАЛ;ГРЕЦКИЙ, ДЖИН, МОРКОВНЫЙ ФРЕШ
08.10.2025;Дмитрий Мальков;Gangster Legend;Москва, Малая Семёновская улица, 6;;;;КАРАМЕЛЬ, МАНГО, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ, ВИНОГРАД
08.10.2025;Эдуард Цепелев;Office lounge;Пермь, шоссе Космонавтов, 213;ЛИМОНЧЕЛЛО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЛАВАНДОВЫЙ ТОНИК, САХАРНАЯ КЛЮКВА;КОРИЦА, УРАЛ;
08.10.2025;Дмитрий Мальков;Мята Lounge;Москва, площадь Журавлёва, 2, стр. 2, 107023 • подъезд 4;;;ГОЛУБИКА;
08.10.2025;Дмитрий Мальков;ЛофтСити Лаундж;Москва, Бакунинская улица, 69, стр. 1, 105082;;ГОЛУБИКА;;
08.10.2025;Дмитрий Мальков;Лофт-центр Б69;Москва, Бакунинская улица, 69, стр. 1, 105082 ;;КОКОС, ФРУКТОВАЯ КОНФЕТА;;
08.10.2025;Эдуард Цепелев;Kavinsky;Пермь, улица Ленина, 54, 614000 ;PINK SHOT;ВИНОГРАДНЫЙ НАПИТОК, ГРУША ГОРГОНЗОЛА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);КОРИЦА;ГРЕЦКИЙ, КАРАМЕЛЬ, ЧЁРНЫЙ ПЕРЕЦ
08.10.2025;Дмитрий Мальков;HookahPlace Брюс;Москва, Ладожская улица, 1/2, 105005;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЛАВАНДА ФЕЙХОА, ЧЕРЁМУХА;;
08.10.2025;Голев Вадим;Момент hookah space;Проспект Ленина, 20;ДЫНЯ, КИСЛАЯ СМОРОДИНА, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;БАНАН, ГРУША ГОРГОНЗОЛА, ЗЕЛЕНЫЙ ЧАЙ, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КИВИ СЕЛЬДЕРЕЙ, КИСЛАЯ МАЛИНА, КОЛА КАРАМЕЛЬ, ЛАВАНДА ФЕЙХОА, ЛЕДЯНОЙ АРБУЗ, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА, ЯГОДНЫЙ, КИСЛЫЙ ЯГОДНЫЙ;;АНАНАС, ЗЕМЛЯНИКА, КАРАМЕЛЬ, МАНГО, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
09.10.2025;Эдуард Цепелев;TheПарking;Пермь, Монастырская улица, 2Б, 614000;;КИСЛАЯ МАЛИНА, КОКОС, ЛЕДЯНОЙ АРБУЗ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
09.10.2025;Одинцов Александр;999;Депутатский переулок 3;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ЗЕМЛЯНИКА, КИВИ СЕЛЬДЕРЕЙ, МАНДАРИН, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРНОСЛИВ КЕДР, ЯГОДНЫЙ МИЛКШЕЙК, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);АРБУЗ, КОРИЦА, ЧЁРНАЯ СМОРОДИНА;
09.10.2025;Эдуард Цепелев;Chill Out;Пермь, улица Ленина, 58, 614000;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОКОС, КРАСНЫЙ ВИНОГРАД, МАНГО, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, SUPER ICE;ГРУША ГОРГОНЗОЛА, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕЛЕНЫЙ ЧАЙ, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);АНАНАС, АРБУЗ, ГРЕЙПФРУТ, ЗЕЛЕНЫЙ ЧАЙ, КОРИЦА, ТОРФЯНОЙ ВИСКИ, ЧЁРНАЯ СМОРОДИНА;ЧЁРНЫЙ ПЕРЕЦ
09.10.2025;Шарков Роман;Hookah Time;Республика Башкортостан, Уфа, улица Менделеева, 130;АПЕЛЬСИН, КЛУБНИКА, КРАСНЫЙ ВИНОГРАД, ЛИМОНЧЕЛЛО, МАЛИНА, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;ГАСПАЧО, ГРУША ГОРГОНЗОЛА, ЧЕРЁМУХА;ЧУПА ЭНЕРДЖИ, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);АНАНАС, КАРАМЕЛЬ, МАЛИНА
